# utterance	expected	key	value	learn
hello	GREET			1
hi	GREET			1
thanks	ACK			1
thank you	ACK			1
what is my favorite food	UNKNOWN			1
my name is Ada	ACK	name	ada	1
what is my name	MEMORY_VALUE	name	ada	1
I am called Bob	ACK	name	bob	1
who am I	MEMORY_VALUE	name	bob	1
call me Grace	ACK	name	grace	1
what am I called	MEMORY_VALUE	name	grace	1
I live in Rome	ACK	city	rome	1
where do I live	MEMORY_VALUE	city	rome	1
my color is blue	ACK	color	blue	1
what is my color	MEMORY_VALUE	color	blue	1
my pet is luna	ACK	pet	luna	1
what is my pet	MEMORY_VALUE	pet	luna	1
poodle is dog	ACK	poodle	dog	1
what is poodle	MEMORY_VALUE	poodle	dog	1
dog is animal	ACK	dog	animal	1
what is dog	MEMORY_VALUE	dog	animal	1
Paris is city	ACK	paris	city	1
what is Paris	MEMORY_VALUE	paris	city	1
no poodle is breed	ACK	poodle	breed	1
what is poodle	MEMORY_VALUE	poodle	breed	1
